ID,Title,Studio,Status,Sound,Versions,RecRetPrice,Rating,Year,Genre,Aspect,Rank
55,Army Of Darkness,Universal,Out,SUR,LBX,24.98,R,1993,Horror,1.85:1,26
56,Art Garfunkel: Across America,Warner Brothers,Out,2,4:03,24.99,NR,2000,Music,1.33:1,1643
57,Arthur,Warner Brothers,Out,2,4:03,19.98,PG,1981,Comedy,1.33:1,1671
58,Assassins,Warner Brothers,Out,5.1,"4:3, LBX, 16:9",19.98,R,1995,Action/Adventure,1.85:1,1194
59,"Astronaut's Wife, The",New Line,Out,5.1,"LBX, 16:9",24.98,R,1999,SciFi,1.78:1,678
60,At First Sight,MGM/UA,Out,5.1,"4:3, LBX, 16:9",24.98,PG-13,1999,Drama,1.78:1,1866
61,Austin Powers: Platinum Edition,New Line,Out,5.1,"4:3, LBX, 16:9",24.98,PG-13,1997,Comedy,2.10:1,861
62,Austin Powers: The Spy Who Shagged Me: Platinum Edition,New Line,Out,5.1,"LBX, 16:9",24.98,PG-13,1999,Comedy,2.35:1,1996
63,Avengers: The Movie,Warner Brothers,Out,5.1,"4:3, LBX",19.98,PG-13,1998,Action/Adventure,1.85:1,15
64,Babe (DTS),Universal,Cancelled,DTS,4:03,34.98,G,1995,Family,1.33:1,304
65,Babe: Pig In The City,Universal,Out,5.1,"4:3, LBX, 16:9",29.98,PG,1998,Family,1.85:1,1264
66,Bachelor,New Line,Out,5.1,"4:3, LBX",24.98,PG-13,1999,Comedy,1.85:1,1395
67,Back To School,MGM/UA,Out,5,"4:3, LBX",24.98,PG-13,1986,Comedy,2.35:1,98
68,Backdraft,Universal,Out,5.1,LBX,24.98,R,1991,Action/Adventure,2.35:1,1100
69,Badlands,Warner Brothers,Out,5.1,"4:3, LBX, 16:9",19.98,PG,1973,Drama,1.85:1,1982
70,Barbarella,Paramount,Out,1,"LBX, 16:9",29.99,PG,1968,SciFi,2.35:1,436
71,Barefoot In The Park,Paramount,Out,1,"LBX, 16:9",29.99,G,1967,Comedy,1.85:1,2113
72,Barry Lyndon,Warner Brothers,Discontinued,SUR,LBX,24.98,PG,1975,Drama,1.66:1,1895
73,Baseball,Warner Brothers,Out,2,4:03,179.98,NR,1994,Documentary,1.33:1,387
74,BASEketball,Universal,Out,5.1,"LBX, 16:9",24.98,R,1998,Comedy,1.85:1,1065
75,Bataan,MGM/UA,Discontinued,1,4:03,19.98,NR,1943,Drama,1.33:1,421
76,Batman,Warner Brothers,Out,5.1,"4:3, LBX, 16:9",24.98,PG-13,1989,Action/Adventure,1.85:1,1402
77,Batman & Robin,Warner Brothers,Out,5.1,"4:3, LBX, 16:9",24.98,PG-13,1997,Action/Adventure,1.85:1,1807
78,Batman Beyond: The Movie,Warner Brothers,Out,SUR,4:03,19.98,NR,1999,Animation,1.33:1,382
79,Batman Forever,Warner Brothers,Out,5.1,"4:3, LBX, 16:9",24.98,PG-13,1995,Action/Adventure,1.85:1,1985
80,Batman Returns,Warner Brothers,Out,5.1,"4:3, LBX, 16:9",24.98,PG-13,1992,Action/Adventure,1.85:1,547
81,Batman: Mask Of The Phantasm,Warner Brothers,Out,SUR,"4:3, LBX, 16:9",19.98,PG,1993,Animation,1.85:1,1665
82,Batteries Not Included,Universal,Out,5.1,"LBX, 16:9",24.98,PG,1987,SciFi,1.85:1,760
83,Battlestar Galactica,Universal,Out,1,LBX,24.98,PG,1978,SciFi,1.85:1,893
84,Beavis And Butt-Head Do America,Paramount,Out,5.1,"LBX, 16:9",29.99,PG-13,1996,Comedy,1.85:1,320
85,Bed Of Roses,New Line,Out,5.1,"4:3, LBX, 16:9",24.98,PG,1996,Drama,1.85:1,2078
86,Beethoven,Universal,Out,SUR,4:03,24.98,PG,1992,Family,1.33:1,1663
87,Beethoven's 2nd,Universal,Out,SUR,"LBX, 16:9",24.98,PG,1993,Family,1.85:1,1475
88,Beetlejuice,Warner Brothers,Out,5.1,"4:3, LBX, 16:9",24.98,PG,1988,Comedy,1.85:1,1300
89,Before Sunrise,Warner Brothers,Out,SUR,"4:3, LBX, 16:9",19.98,R,1995,Drama,1.85:1,1216
90,Beguiled,Universal,Out,1,"LBX, 16:9",24.98,R,1971,Western,1.85:1,2266
91,Ben-Hur,MGM/UA,Postponed,2,"LBX, 16:9",24.98,NR,1959,Drama,1.78:1,889
92,Besieged: Platinum Edition,New Line,Out,SUR,"4:3, LBX, 16:9",24.98,R,1998,Drama,1.66:1,1615
93,Best Bits Of Mr. Bean (Universal),Universal,Out,2,4:03,29.98,NR,1996,TV Classics,1.33:1,2186
94,Best Man,Universal,Out,5.1/DTS,"LBX, 16:9",24.98,R,1999,Comedy,1.85:1,1049
95,Betrayed,MGM/UA,Out,SUR,"4:3, LBX",24.98,R,1988,Mystery/Suspense,1.85:1,683
96,Betsy,Warner Brothers,Out,1,4:03,14.98,R,1978,Drama,1.33:1,2056
97,Big Bully,Warner Brothers,Out,5.1,LBX,24.98,PG,1996,Comedy,1.85:1,1257
98,Big Red One,Warner Brothers,Out,SUR,"4:3, LBX, 16:9",19.98,PG,1980,Action/Adventure,1.85:1,265
99,Big Sleep,Warner Brothers,Out,1,4:03,19.98,NR,1946,Mystery/Suspense,1.33:1,1109
