ID,Title,Studio,Status,Sound,Versions,RecRetPrice,Rating,Year,Genre,Aspect,Rank
572,Lethal Weapon 2,Warner Brothers,Out,5.1,"4:3, LBX",24.98,R,1989,Action/Adventure,2.35:1,190
573,Lethal Weapon 2: Director's Cut,Warner Brothers,Out,5.1/DTS,LBX,24.98,R,1989,Action/Adventure,2.35:1,474
574,Lethal Weapon 3,Warner Brothers,Out,5.1,"4:3, LBX, 16:9",24.98,R,1992,Action/Adventure,2.35:1,742
575,Lethal Weapon 3: Director's Cut,Warner Brothers,Out,5.1/DTS,LBX,24.98,R,1992,Action/Adventure,2.35:1,967
576,Lethal Weapon 4,Warner Brothers,Out,5.1,"LBX, 16:9",24.98,R,1998,Action/Adventure,2.35:1,2176
577,Lethal Weapon Gift Set,Warner Brothers,Out,5.1,VAR,99.92,R,1979,Action/Adventure,VAR,705
578,Lethal Weapon: Director's Cut,Warner Brothers,Out,5.1/DTS,LBX,24.98,R,1987,Action/Adventure,1.85:1,974
579,Leviathan,MGM/UA,Out,SUR,"LBX, 16:9",19.98,R,1989,SciFi,1.78:1,616
580,Liar Liar,Universal,Out,5.1,4:03,24.98,PG-13,1997,Comedy,1.33:1,223
581,Liar Liar (DTS),Universal,Out,DTS,4:03,34.98,PG-13,1997,Comedy,1.33:1,148
582,"Liar, Liar: Collector's Edition",Universal,Out,5.1,"LBX, 16:9",34.98,PG-13,1997,Comedy,1.85:1,238
583,License To Kill: Special Edition,MGM/UA,Discontinued,5.1,"LBX, 16:9",34.98,PG-13,1989,Action/Adventure,2.35:1,2193
584,Life,Universal,Out,5.1,"LBX, 16:9",24.98,R,1999,Comedy,1.85:1,558
585,Lifeforce,MGM/UA,Out,SUR,"4:3, LBX",24.98,R,1985,Action/Adventure,2.35:1,880
586,Lionheart,Universal,Out,SUR,4:03,24.98,R,1990,Action/Adventure,1.33:1,1465
587,Little Princess,Warner Brothers,Out,5.1,"4:3, LBX, 16:9",19.98,G,1995,Family,1.85:1,2148
588,Little Rascals,Universal,Out,5.1,"LBX, 16:9",24.98,PG,1994,Comedy,1.85:1,1134
589,Little Rascals (DTS),Universal,Out,DTS,"LBX, 16:9",34.98,PG,1994,Comedy,1.85:1,907
590,Little Shop of Horrors: Special Edition (Original Version),Warner Brothers,Recalled,5.1,"LBX, 16:9",24.98,PG-13,1986,Musical,1.85:1,1445
591,Little Shop Of Horrors: Special Edition (Remastered Version),Warner Brothers,Out,5.1,LBX,24.98,PG-13,1986,Musical,1.85:1,1656
592,Live And Let Die: Special Edition,MGM/UA,Discontinued,1,"LBX, 16:9",34.98,PG,1973,Action/Adventure,1.85:1,1005
593,Living Out Loud: Platinum Edition,New Line,Out,5.1,"LBX, 16:9",24.98,R,1998,Comedy,2.35:1,1371
594,Local Hero,Warner Brothers,Out,1,"4:3, LBX, 16:9",19.98,PG,1983,Comedy,1.78:1,1479
595,Logan's Run: Special Edition,MGM/UA,Discontinued,5.1,"LBX, 16:9",24.98,PG,1976,SciFi,2.35:1,563
596,Lolita,Warner Brothers,Discontinued,1,LBX,24.98,NR,1962,Drama,1.66:1,971
597,Lone Star,Warner Brothers,Out,SUR,"LBX, 16:9",19.98,R,1996,Mystery/Suspense,2.35:1,2253
598,Lonely Guy,Universal,Out,1,LBX,24.98,R,1984,Comedy,1.85:1,82
599,Long Kiss Goodnight,New Line,Out,5.1,"4:3, LBX, 16:9",24.98,R,1996,Action/Adventure,2.35:1,2164
600,Lord Of Illusions: Special Edition,MGM/UA,Out,5.1,"LBX, 16:9",24.98,NR,1995,Horror,1.78:1,1849
601,Lost And Found,Warner Brothers,Out,2,LBX,19.98,PG-13,1999,Comedy,1.85:1,1883
602,Lost Boys,Warner Brothers,Out,5.1,"4:3, LBX, 16:9",24.98,R,1987,Drama,2.35:1,1424
603,Lost In Space: The Movie: Platinum Edition,New Line,Out,5.1,"LBX, 16:9",24.98,PG-13,1998,SciFi,2.35:1,1743
604,Love And Death On Long Island,Universal,Out,SUR,"LBX, 16:9",24.98,PG-13,1997,Comedy,1.85:1,1774
605,Love Jones,New Line,Out,5.1,"4:3, LBX, 16:9",24.98,R,1997,Drama,1.85:1,638
606,Lovesick,Warner Brothers,Out,1,4:03,14.98,PG,1983,Comedy,1.33:1,681
607,Mad City,Warner Brothers,Out,5.1,"4:3, LBX, 16:9",24.98,PG-13,1997,Action/Adventure,2.35:1,1283
608,Mad Max Beyond Thunderdome,Warner Brothers,Out,5.1,"4:3, LBX, 16:9",24.98,PG-13,1985,SciFi,2.35:1,2235
609,Made In America,Warner Brothers,Out,SUR,4:03,14.98,PG-13,1993,Comedy,1.33:1,1804
610,Madigan,Universal,Out,1,LBX,24.98,NR,1968,Mystery/Suspense,2.35:1,862
611,Madonna: Ciao Italia: Live From Italy,Warner Brothers,Out,PCM,4:03,24.98,NR,1993,Music,1.33:1,67
612,Madonna: The Girlie Show: Live Down Under,Warner Brothers,Out,SUR,4:03,24.99,NR,1988,Music,1.33:1,38
613,Madonna: The Video Collection 1992-1999,Warner Brothers,Out,PCM,4:03,24.99,NR,1999,Music,1.33:1,2009
614,Magnificent Seven,MGM/UA,Cancelled,1,"4:3, LBX, 16:9",24.98,NR,1960,Western,2.35:1,936
615,Major League 2,Warner Brothers,Out,5.1,LBX,24.98,PG,1994,Comedy,1.85:1,1991
616,Major League 3: Back To The Minors,Warner Brothers,Out,5.1,LBX,24.98,PG-13,1998,Comedy,1.85:1,524
617,Major Payne,Universal,Out,5.1,"LBX, 16:9",24.98,PG-13,1995,Comedy,1.85:1,601
618,Malcolm X,Warner Brothers,Out,5.1,"LBX, 16:9",24.98,PG-13,1992,Drama,1.85:1,1218
619,Mallrats: Collector's Edition,Universal,Out,5.1,"LBX, 16:9",29.98,R,1995,Comedy,1.85:1,385
620,Maltese Falcon,Warner Brothers,Out,1,4:03,24.98,NR,1941,Mystery/Suspense,1.33:1,150
621,Barenaked Ladies: Too Little Too Late DVD Single,Warner Music,Out,2,4:03,9.95,NR,2001,Music,1.33:1,686
622,Casino Lights '99: Montreux Jazz Festival,Warner Music,Out,2,4:03,24.99,NR,1999,Music,1.33:1,582
623,Dream Theater: Metropolis 2000: Scenes From New York (Special Edition),Warner Music,Out,2,4:03,24.99,NR,2001,Music,1.33:1,822
624,Static-X: Where The Hell Are We And What Day Is It: This Is Static-X,Warner Music,Postponed,2,4:03,24.99,NR,2001,Music,1.33:1,1850
625,Strauss: New Year's Concert 2001: Nikolaus Harnoncourt (DVD-Audio),Warner Music,Postponed,5.1,4:03,24.98,NR,2001,Music,1.33:1,502
626,Vivaldi: The Four Season,Warner Music,Out,2,4:03,24.95,NR,2001,Music,1.33:1,1211
627,Alice (1990),MGM/UA,Out,1,"LBX, 16:9",19.98,PG-13,1990,Comedy,1.85:1,1570
628,Another Woman,MGM/UA,Out,1,"LBX, 16:9",19.98,PG,1988,Drama,1.85:1,1790
629,Antitrust (Special Edition),MGM/UA,Out,5.1,"LBX, 16:9",24.98,PG-13,2000,Mystery/Suspense,1.78:1,1068
630,Apartment,MGM/UA,Out,1,"LBX, 16:9",19.98,NR,1960,Comedy,2.35:1,1326
631,Barefoot Contessa,MGM/UA,Out,1,4:03,19.98,NR,1954,Drama,1.33:1,773
632,Beach Blanket Bingo,MGM/UA,Out,1,"LBX, 16:9",14.98,NR,1965,Comedy,2.35:1,1864
633,Crimes And Misdemeanors,MGM/UA,Out,1,"LBX, 16:9",19.98,PG-13,1989,Comedy,1.85:1,1735
634,Donovan's Brain,MGM/UA,Out,1,4:03,14.98,NR,1953,SciFi,1.33:1,1279
635,Dr. Goldfoot And The Bikini Machine,MGM/UA,Out,1,"LBX, 16:9",14.98,NR,1965,SciFi,2.35:1,97
636,Entertainer,MGM/UA,Out,1,LBX,19.98,NR,1960,Drama,1.66:1,1150
637,Fall Of The House Of Usher (Special Edition/ 1960),MGM/UA,Out,1,"LBX, 16:9",14.98,NR,1960,Horror,2.35:1,802
638,Hope And Glory,MGM/UA,Out,1,LBX,19.98,PG-13,1987,Drama,1.66:1,1797
639,Kiss Me Deadly,MGM/UA,Out,1,LBX,19.98,NR,1955,Mystery/Suspense,1.66:1,837
640,Madness Of King George,MGM/UA,Out,2,"LBX, 16:9",19.98,PG-13,1994,Comedy,1.85:1,450
641,Marty,MGM/UA,Out,1,4:03,19.98,NR,1954,Drama,1.33:1,1309
642,Misfits,MGM/UA,Out,1,LBX,19.98,NR,1961,Drama,1.66:1,584
643,Moby Dick (1956),MGM/UA,Out,1,4:03,19.98,NR,1956,Drama,1.33:1,185
644,Pit And The Pendulum (Special Edition/ 1961),MGM/UA,Out,1,LBX,14.98,NR,1961,Horror,2.35:1,2149
645,Platoon (Special Edition),MGM/UA,Out,5.1,"LBX, 16:9",19.98,R,1986,Drama,1.85:1,1052
646,Rembrandt,MGM/UA,Out,1,4:03,19.98,NR,1936,Drama,1.33:1,2025
647,Salvador (Special Edition),MGM/UA,Out,5.1,"LBX, 16:9",24.98,R,1985,Drama,1.85:1,1964
648,September,MGM/UA,Out,1,"LBX, 16:9",19.98,PG,1987,Drama,1.85:1,2106
649,Shadows And Fog,MGM/UA,Out,2,"LBX, 16:9",19.98,PG-13,1992,Comedy,1.85:1,1411
650,Something Wild,MGM/UA,Out,2,"LBX, 16:9",19.98,R,1986,Comedy,1.85:1,595
651,Sweet Smell Of Success,MGM/UA,Out,1,LBX,19.98,NR,1957,Drama,1.66:1,1170
652,Thing With Two Heads,MGM/UA,Out,1,LBX,14.98,NR,1972,SciFi,1.85:1,2162
653,Tom Jones,MGM/UA,Out,1,LBX,19.98,NR,1963,Comedy,1.66:1,1947
654,Village Of The Giants,MGM/UA,Out,1,4:03,14.98,NR,1965,SciFi,1.33:1,1074
655,Woody Allen Collection 1987-1992,MGM/UA,Out,VAR,"LBX, 16:9",83.96,VAR,1977,Comedy/Drama,1.85:1,94
656,X: The Man With The X-Ray Eyes (Special Edition),MGM/UA,Out,1,"LBX, 16:9",14.98,NR,1963,SciFi,1.85:1,717
657,Gummo,New Line,Out,2,LBX,24.98,R,1997,Drama,1.85:1,1814
658,Julien Donkey Boy,New Line,Out,2,LBX,24.98,R,1999,Drama,1.78:1,1356
659,Bridges Of Toko-Ri,Paramount,Out,1,4:03,29.99,NR,1954,Drama,1.33:1,630
660,Catch 22 (Special Edition),Paramount,Out,1,"LBX, 16:9",29.99,R,1970,Comedy/Drama,2.35:1,1223
661,Donovan's Reef,Paramount,Out,1,"LBX, 16:9",29.99,NR,1963,Comedy,1.78:1,2229
662,Hell Is For Heroes,Paramount,Out,1,"LBX, 16:9",29.99,NR,1962,Action/Comedy,1.78:1,2198
663,In Harm's Way,Paramount,Out,5.1,"LBX, 16:9",29.99,NR,1965,Drama,2.35:1,978
664,Kill Shot,Paramount,Out,5.1,4:03,29.99,R,2001,Mystery/Suspense,1.33:1,198
665,Man Who Shot Liberty Valance,Paramount,Out,5.1,"LBX, 16:9",29.99,NR,1962,Western,1.66:1,1122
666,Sons Of Katie Elder,Paramount,Out,1,"LBX, 16:9",29.99,NR,1965,Western,2.35:1,443
667,Star Trek TV #23: A Private Little War/ The Gamesters Of Triskelion,Paramount,Out,5.1,4:03,19.99,NR,1968,SciFi,1.33:1,2151
668,Star Trek TV #24: Obsession/ The Immunity Syndrome,Paramount,Out,5.1,4:03,20,NR,1968,TV Classics,1.33:1,2267
669,Sunshine,Paramount,Out,5.1,"LBX, 16:9",29.99,R,2000,Drama,1.78:1,682
670,Uncommon Valor,Paramount,Out,5.1,"LBX, 16:9",29.99,R,1983,Action/Adventure,1.78:1,194
671,Jaws 2,Universal,Out,1,"LBX, 16:9",26.98,PG,1978,Horror,2.35:1,85
672,Fugitive (Special Edition),Warner Brothers,Out,5.1,"LBX, 16:9",19.98,PG-13,1993,Action/Adventure,1.85:1,1899
673,Serpent's Kiss,MGM/UA,Out,2,4:03,24.98,R,1997,Mystery/Suspense,1.33:1,774
674,What Women Want (Special Edition),Paramount,Out,5.1,"4:3, LBX, 16:9",29.99,PG-13,2000,Comedy,1.85:1,1695
675,Gormenghast,Warner Brothers,Out,2,4:03,34.98,NR,2000,Fantasy,1.33:1,274
676,Charlotte's Web,Paramount,Out,1,"LBX, 16:9",24.99,G,1973,Family,1.85:1,1004
677,Shadow Of The Vampire (Special Edition),Universal,Out,5.1/DTS,LBX,26.98,R,2001,Horror,2.35:1,1348
678,Two Family House,Universal,Out,2,4:03,24.98,PG-13,2000,Comedy,1.33:1,2043
679,Blue Planet: IMAX,Warner Brothers,Out,5.1,4:03,19.98,NR,1990,Special Interest,1.33:1,1579
680,Cartoon Crack-Ups,Warner Brothers,Out,1,4:03,14.98,NR,2001,Animation,1.33:1,2126
681,Dream Is Alive: IMAX,Warner Brothers,Out,5.1,4:03,19.98,NR,1985,Special Interest,1.33:1,1189
682,V: The Original Miniseries (Special Edition),Warner Brothers,Out,2,"LBX, 16:9",19.98,NR,1983,SciFi,1.85:1,1204
683,2001: A Space Odyssey,Warner Brothers,Out,5.1,LBX,24.98,G,1968,SciFi,2.35:1,1132
684,Barry Lyndon,Warner Brothers,Out,5.1,4:03,24.98,PG,1975,Drama,1.33:1,2119
685,Before Night Falls (Special Edition),New Line,Out,5.1,LBX,24.98,R,2000,Drama,1.85:1,193
686,Best In Show,Warner Brothers,Out,5.1,"LBX, 16:9",24.98,PG-13,2000,Comedy,1.85:1,2286
687,Clockwork Orange,Warner Brothers,Out,5.1,4:03,24.98,R,1971,SciFi,1.33:1,992
688,Dungeons And Dragons (Special Edition),New Line,Out,5.1,LBX,24.98,PG-13,2000,SciFi,1.85:1,1870
689,Full Metal Jacket,Warner Brothers,Out,5.1,4:03,24.98,R,1987,Drama,1.33:1,212
690,Game Of Death (1978),Warner Brothers,Out,2,LBX,19.98,R,1978,Action/Adventure,2.35:1,464
691,Lolita,Warner Brothers,Out,5.1,4:03,24.98,NR,1962,Comedy/Drama,1.33:1,1413
692,Nutty Professor 2: The Klumps Uncensored (Special Edition),Universal,Out,5.1/DTS,"LBX, 16:9",26.98,NR,2000,Comedy,1.85:1,413
693,Pay It Forward (Special Edition),Warner Brothers,Out,5.1,"LBX, 16:9",24.98,PG-13,2000,Drama,1.85:1,1155
694,Playboy 2000: The Party Continues,Universal,Discontinued,2,4:03,24.98,UR,2001,Late Night,1.33:1,325
695,Playboy Centerfold: 2001 Playmate Of The Year,Universal,Out,2,4:03,24.98,UR,2001,Late Night,1.33:1,828
696,Shining,Warner Brothers,Out,5.1,4:03,24.98,R,1980,Horror,1.33:1,501
697,Stanley Kubrick Collection,Warner Brothers,Out,5.1,VAR,199.92,VAR,1971,VAR,VAR,2048
698,Star Trek TV #25: A Piece Of The Action/ By Any Other Name,Paramount,Out,1,4:03,19.99,NR,1968,TV Classics,1.33:1,311
699,Star Trek TV #26: Return To Tomorrow/ Patterns Of Force,Paramount,Out,1,4:03,19.99,NR,1968,TV Classics,1.33:1,1810
700,X-Men: Reunion/ Out Of The Past/ No Mutant Is An Island,Universal,Out,2,4:03,24.98,NR,1970,Animation,1.33:1,1506
701,"X-Men: Sanctuary/ Proteus/ Weapon X, Lies And Videotape",Universal,Out,2,4:03,24.98,NR,1978,Animation,1.33:1,33
702,Eyes Wide Shut (ReRelease),Warner Brothers,Out,5.1,4:03,24.98,R,1999,Drama,1.33:1,51
703,Save The Last Dance (Special Edition),Paramount,Out,5.1,"LBX, 16:9",29.99,PG-13,2001,Drama,1.85:1,610
704,You Can Count On Me (Special Edition),Paramount,Out,5,"LBX, 16:9",29.99,R,2000,Comedy/Drama,1.85:1,1037
705,Forever Mine,MGM/UA,Out,SUR,4:03,24.98,R,1999,Drama,1.33:1,1249
706,Holiday Heart,MGM/UA,Out,2,4:03,24.98,R,2000,Drama,1.33:1,153
707,Bach: St. Matthew Passion: Harnoncourt (DVD-Audio),Warner Music,Postponed,2,4:03,74.98,NR,2000,Music,1.33:1,655
708,Chanticleer: Magnificat (DVD-Audio),Warner Music,TBA,2,4:03,24.98,NR,1976,Music,1.33:1,824
709,Fleetwood Mac: Rumours (DVD-Audio),Warner Music,Out,5.1,4:03,24.98,NR,1997,Music,1.33:1,1961
710,Messiaen: Vingt Regards Sur L'Enfant Jesus: Aimard (DVD-Audio),Warner Music,TBA,2,4:03,49.98,NR,1977,Music,1.33:1,1953
711,All Revved Up,MGM/UA,Out,2,4:03,24.98,R,1997,Comedy,1.33:1,1574
712,Bagdad Cafe,MGM/UA,Out,2,"LBX, 16:9",19.98,PG,1987,Comedy,1.33:1,1921
713,Black Robe,MGM/UA,Out,SUR,"LBX, 16:9",19.98,R,1991,Action/Adventure,1.85:1,2134
714,Claim,MGM/UA,Out,5.1,"LBX, 16:9",26.98,R,2000,Drama,2.35:1,1463
715,Cotton Club,MGM/UA,Out,5.1,"LBX, 16:9",19.98,R,1984,Drama,1.85:1,1822
716,Cutter's Way,MGM/UA,Out,1,"LBX, 16:9",19.98,R,1981,Drama,1.85:1,405
717,Go Fish,MGM/UA,Out,1,4:03,19.98,R,1994,Comedy,1.33:1,102
718,Hollywood Shuffle,MGM/UA,Out,1,LBX,19.98,R,1987,Comedy,1.85:1,321
719,Hotel New Hampshire,MGM/UA,Out,1,LBX,19.98,R,1984,Comedy,1.85:1,1753
720,Liebestraum,MGM/UA,Out,2,LBX,19.98,R,1991,Mystery/Suspense,1.85:1,1474
721,Marat Sade,MGM/UA,Out,1,LBX,19.98,NR,1966,Drama,1.85:1,538
722,Theremin: An Electronic Odyssey,MGM/UA,Out,2,4:03,19.98,PG,1993,Special Interest,1.33:1,1711
723,Who'll Stop The Rain,MGM/UA,Out,1,LBX,19.98,R,1978,Drama,1.85:1,1702
724,Chocolat,MGM/UA,Out,1,LBX,19.98,PG-13,1988,Foreign,1.66:1,840
725,La Cage Aux Folles,MGM/UA,Out,1,LBX,19.98,R,1979,Comedy/Drama,1.66:1,453
726,La Cage Aux Folles II,MGM/UA,Out,1,LBX,19.98,R,1981,Comedy/Drama,1.66:1,1612
727,Madonna: What It Feels Like For A Girl DVD Single,Warner Music,Out,2,4:03,9.95,NR,2000,Music,1.33:1,958
728,Apollo 13 (Special Edition/ Dolby Digital)/ Backdraft,Universal,Out,5.1,LBX,34.98,VAR,1978,Action/Adventure,2.35:1,1851
729,Casino/ Carlito's Way,Universal,Out,5.1,LBX,34.98,R,1973,Drama,2.35:1,1779
730,12 Monkeys (Special Edition/ Dolby Digital)/ Jackal,Universal,Out,5.1,"LBX, 16:9",34.98,R,1978,Action/Adventure,VAR,1169
731,Man In The Iron Mask (MGM/UA),MGM/UA,Out,5.1,"4:3, LBX, 16:9",24.98,PG-13,1998,Action/Adventure,1.85:1,711
732,Man On The Moon: Collector's Edition,Universal,Out,5.1/DTS,"LBX, 16:9",24.98,R,1999,Comedy,2.35:1,1387
733,Man Who Knew Too Little,Warner Brothers,Out,5.1,"4:3, LBX, 16:9",24.98,PG,1997,Comedy,1.85:1,2147
734,Man Who Would be King,Warner Brothers,Out,1,"LBX, 16:9",19.98,PG,1975,Drama,2.35:1,755
735,Man With No Name: Clint Eastwood Gift Set,MGM/UA,Out,1,LBX,59.98,NR,1975,Western,1.85:1,2230
736,Man With The Golden Gun: Special Edition,MGM/UA,Discontinued,1,"LBX, 16:9",34.98,PG,1974,Action/Adventure,1.66:1,1526
737,Man With Two Brains,Warner Brothers,Out,1,4:03,14.98,R,1983,Comedy,1.33:1,176
738,Mana: MTV Unplugged,Warner Brothers,Out,2,4:03,24.99,NR,2000,Music,1.33:1,689
739,Manchurian Candidate: Special Edition,MGM/UA,Out,1,"4:3, LBX",24.98,PG-13,1962,Drama,1.75:1,549
740,Marnie: Collector's Edition,Universal,Out,1,"LBX, 16:9",29.98,PG,1964,Mystery/Suspense,1.85:1,299
741,Married To The Mob,MGM/UA,Out,2,"4:3, LBX",19.98,R,1988,Comedy,1.85:1,1384
742,Mars Attacks!,Warner Brothers,Out,5.1,"4:3, LBX, 16:9",24.98,PG-13,1996,Comedy,2.35:1,1529
743,Mask: Platinum Edition,New Line,Out,5.1,"4:3, LBX",24.98,PG-13,1994,Comedy,1.85:1,540
744,"Matrix, The",Warner Brothers,Out,5.1,"LBX, 16:9",24.98,R,1999,SciFi,2.35:1,642
745,Maverick,Warner Brothers,Out,SUR,"4:3, LBX, 16:9",24.98,PG,1994,Western,2.35:1,117
746,McKenzie Break,MGM/UA,Out,2,LBX,24.98,PG,1970,Action/Adventure,1.85:1,383
747,Mean Streets,Warner Brothers,Out,1,"4:3, LBX",24.98,R,1973,Drama,1.85:1,1680
748,Meet Joe Black,Universal,Discontinued,5.1,"LBX, 16:9",24.98,PG-13,1998,Drama,1.85:1,88
749,Memphis Belle,Warner Brothers,Out,5.1,"4:3, LBX",24.98,PG-13,1990,Action/Adventure,1.66:1,1532
750,Menace II Society,New Line,Out,5.1,"4:3, LBX",24.98,R,1993,Action/Adventure,1.85:1,1425
751,Mercury Rising,Universal,Out,5.1,"LBX, 16:9",24.98,R,1998,Mystery/Suspense,2.35:1,424
752,Mercury Rising (DTS),Universal,Out,DTS,"LBX, 16:9",34.98,R,1998,Mystery/Suspense,2.35:1,1819
753,Mercury Rising: Collector's Edition,Universal,Out,5.1,"LBX, 16:9",34.98,R,1998,Mystery/Suspense,2.35:1,134
754,Message In A Bottle,Warner Brothers,Out,5.1,"LBX, 16:9",24.98,PG-13,1999,Drama,2.35:1,979
755,Metallica: A Year & A Half In The Life Of Metallica #1,Warner Brothers,Out,2,4:03,29.99,NR,1992,Music,1.33:1,932
756,Metallica: Cliff 'Em All,Warner Brothers,Out,2,4:03,24.99,NR,1987,Music,1.33:1,437
757,Metallica: Cunning Stunts,Warner Brothers,Out,5.1,4:03,34.99,NR,1998,Music,1.33:1,1552
758,Metallica: With The San Francisco Symphony: S&M,Warner Brothers,Out,5.1,4:03,34.99,NR,1999,Music,1.33:1,560
759,Meteor,MGM/UA,Out,1,LBX,24.98,PG,1979,Action/Adventure,2.35:1,1181
760,Metroland,Universal,Out,SUR,4:03,24.98,R,1997,Drama,1.33:1,730
761,Michael,Warner Brothers,Out,5.1,4:03,24.98,PG,1996,Comedy,1.33:1,1542
762,Michael Collins,Warner Brothers,Out,5.1,LBX,19.98,R,1996,Drama,1.85:1,1509
763,Michael Crawford In Concert,Warner Brothers,Out,SUR,4:03,19.98,NR,1975,Music,1.33:1,1594
764,Michael Flatley: Lord Of The Dance (Universal),Universal,Out,2,4:03,29.98,NR,1997,Ballet,1.33:1,812
765,Mickey Blue Eyes,Warner Brothers,Out,5.1,"4:3, LBX, 16:9",24.98,PG-13,1999,Comedy,1.85:1,1707
766,Midnight Cowboy,MGM/UA,Out,4,"4:3, LBX",24.98,R,1969,Drama,1.85:1,1504
767,Midnight In The Garden Of Good And Evil,Warner Brothers,Out,5.1,"LBX, 16:9",24.98,R,1997,Drama,1.85:1,1089
768,Miss Julie,MGM/UA,Out,5.1,LBX,24.98,R,1999,Drama,1.85:1,1716
769,Missing In Action,MGM/UA,Out,2,"4:3, LBX",19.98,R,1984,Action/Adventure,1.85:1,2072
770,Mission Impossible,Paramount,Out,5.1,"4:3, LBX",29.99,PG-13,1996,Action/Adventure,2.35:1,798
771,Mister Roberts: Premiere Collection,Warner Brothers,Out,5.1,"LBX, 16:9",24.98,NR,1955,Comedy,2.35:1,256
772,Mod Squad: The Movie,MGM/UA,Out,5.1,"4:3, LBX, 16:9",24.98,R,1999,Action/Adventure,1.85:1,871
773,Molly,MGM/UA,Out,2,4:03,24.98,PG-13,1999,Comedy,1.33:1,2027
774,Money Talks,New Line,Discontinued,5.1,"4:3, LBX, 16:9",19.98,R,1997,Comedy,2.35:1,197
775,Monkey Shines,MGM/UA,Out,2,"4:3, LBX",19.98,R,1988,Horror,1.85:1,1617
776,Monterey Jazz Festival: 40 Legendary Years,Warner Brothers,Out,SUR,4:03,19.98,NR,1998,Music,1.33:1,1054
777,Moonraker,MGM/UA,Discontinued,5.1,"4:3, LBX, 16:9",24.98,PG,1979,Action/Adventure,2.35:1,537
778,Moonraker: Special Edition,MGM/UA,Discontinued,5.1,"LBX, 16:9",34.98,PG,1979,Action/Adventure,2.35:1,71
779,Moonstruck: Special Edition,MGM/UA,Out,5.1,4:03,24.98,PG,1987,Comedy,1.33:1,960
780,More Treasures Of The Twilight Zone,Panasonic,Discontinued,1,4:03,24.95,NR,1977,TV Classics,1.33:1,999
781,Mortal Kombat: Annilihation: Platinum Edition,New Line,Out,5.1,"4:3, LBX, 16:9",24.98,PG-13,1997,Action/Adventure,1.85:1,287
782,Mortal Kombat: The Movie,New Line,Out,5.1,"4:3, LBX",24.98,PG-13,1995,Action/Adventure,1.85:1,806
783,Mosquito Coast,Warner Brothers,Out,SUR,"4:3, LBX, 16:9",19.98,PG,1986,Drama,1.85:1,1430
784,Most Wanted,New Line,Out,5.1,"4:3, LBX, 16:9",19.98,R,1997,Action/Adventure,2.35:1,1931
785,Mother Night,New Line,Out,5.1,"4:3, LBX",24.98,R,1996,Drama,1.85:1,912
786,Mr. Death: The Rise And Fall Of Fred A. Leuchter Jr.,Universal,Out,SUR,"LBX, 16:9",24.98,PG-13,1999,Other,1.85:1,1188
787,Mr. Mom,MGM/UA,Out,2,4:03,24.98,PG,1983,Comedy,1.33:1,1969
788,Mr. Mumble,Panorama,Out,2,LBX,19.98,NR,1996,Comedy,1.85:1,1640
789,Mr. Nice Guy,New Line,Out,5.1,"4:3, LBX, 16:9",24.98,PG-13,1997,Action/Adventure,1.78:1,1010
790,Mr. Wonderful,Warner Brothers,Out,SUR,"4:3, LBX, 16:9",19.98,PG-13,1993,Comedy,1.85:1,490
791,Mummy: Classic Monster Collection (1932),Universal,Out,1,4:03,29.98,NR,1932,Horror,1.33:1,2064
792,Mummy: Collector's Edition (LBX),Universal,Discontinued,5.1,"LBX, 16:9",29.98,PG-13,1999,Horror,2.35:1,1561
793,Mummy: Collector's Edition (1999 / P&S),Universal,Discontinued,5.1,4:03,29.98,PG-13,1999,Horror,2.35:1,70
794,Murder at 1600,Warner Brothers,Out,5.1,"4:3, LBX, 16:9",19.98,R,1997,Action/Adventure,1.85:1,1769
795,Murder In The First,Warner Brothers,Out,SUR,"4:3, LBX, 16:9",14.98,R,1995,Drama,1.78:1,1731
796,Music Man: Special Edition,Warner Brothers,Out,5.1,"LBX, 16:9",24.98,NR,1962,Musical,2.35:1,276
797,My Blue Heaven,Warner Brothers,Out,SUR,4:03,14.98,PG-13,1990,Comedy,1.33:1,2122
798,My Fair Lady: Premiere Collection,Warner Brothers,Out,5.1,"LBX, 16:9",24.98,G,1964,Musical,2.20:1,1834
799,My Fellow Americans,Warner Brothers,Out,5.1,4:03,24.98,PG-13,1996,Comedy,1.33:1,1351
800,My Giant,Warner Brothers,Out,5.1,"4:3, LBX, 16:9",19.98,PG,1998,Comedy,1.78:1,2109
801,My Sergei,Panasonic,Out,2,4:03,19.95,NR,1998,Documentary,1.33:1,856
802,Mystery Men,Universal,Out,5.1,"LBX, 16:9",24.98,PG-13,1999,Comedy,1.85:1,796
803,Mystery Train,MGM/UA,Out,2,LBX,24.98,R,1989,Comedy,1.85:1,1094
804,Natalie Merchant: Live In Concert,Warner Brothers,Out,2,4:03,24.99,NR,1999,Music,1.33:1,66
805,National Geographic: 30 Years Of National Geographic Specials,Warner Brothers,Out,2,4:03,24.98,NR,1970,Documentary,1.33:1,100
806,National Geographic: Nature's Fury,Warner Brothers,Out,5.1,4:03,24.98,NR,1978,Documentary,1.33:1,727
807,National Geographic: Secrets Of The Titanic,Warner Brothers,Out,2,4:03,24.98,NR,1970,Documentary,1.33:1,1069
808,National Geographic: Surviving Everest,Warner Brothers,Out,SUR,4:03,24.98,NR,1970,Documentary,1.33:1,1543
